id_cliente,nome_cliente,segmento,cidade,uf,data_cadastro,canal_aquisicao,faixa_etaria
C00000,Rafael Oliveira,PME,Rio de Janeiro,RJ,2021-01-09,Indicação,18-25
C00001,Ana Cardoso,Consumidor,Brasília,DF,2021-03-26,Orgânico,60+
C00002,Nuno Carvalho,Consumidor,Belo Horizonte,MG,2020-12-18,Orgânico,26-35
C00003,Diego Gomes,Corporativo,Rio de Janeiro,RJ,2021-11-08,Mídia Paga,60+
C00004,Rafael Ribeiro,Consumidor,Recife,PE,2022-09-13,Mídia Paga,60+
C00005,Carla Souza,PME,Porto Alegre,RS,2020-12-11,Mídia Paga,36-45
C00006,Lucas Lima,Corporativo,Fortaleza,CE,2021-02-20,Indicação,26-35
C00007,Felipe Cardoso,PME,Rio de Janeiro,RJ,2021-03-19,Mídia Paga,26-35
C00008,Karina Souza,Consumidor,Porto Alegre,RS,2020-12-31,Orgânico,18-25
C00009,Sofia Carvalho,PME,Rio de Janeiro,RJ,2022-04-30,Orgânico,46-60
C00010,Rafael Cardoso,Consumidor,Porto Alegre,RS,2020-10-31,Orgânico,60+
C00011,Elaine Melo,Consumidor,Salvador,BA,2022-04-22,Indicação,18-25
C00012,Marina Martins,PME,Manaus,AM,2022-09-28,Indicação,46-60
C00013,Diego Cardoso,Consumidor,São Paulo,SP,2021-01-05,Mídia Paga,36-45
C00014,Felipe Melo,Consumidor,Curitiba,PR,2021-07-08,Parceiro,36-45
C00015,Lucas Lima,PME,Porto Alegre,RS,2022-06-29,Indicação,60+
C00016,João Ferreira,Corporativo,Salvador,BA,2020-08-03,Orgânico,60+
C00017,Carla Cardoso,Corporativo,Fortaleza,CE,2020-08-19,Mídia Paga,26-35
C00018,Gabriela Cardoso,PME,Manaus,AM,2021-09-25,Mídia Paga,26-35
C00019,Quezia Barbosa,PME,Salvador,BA,2021-09-10,Orgânico,26-35
C00020,Bruno Ferreira,Consumidor,São Paulo,SP,2022-09-21,Orgânico,18-25
C00021,Paulo Costa,PME,Porto Alegre,RS,2022-02-20,Indicação,60+
C00022,Nuno Gomes,Consumidor,Rio de Janeiro,RJ,2022-08-25,Indicação,46-60
C00023,Marina Carvalho,PME,Rio de Janeiro,RJ,2022-10-01,Mídia Paga,18-25
C00024,Henrique Oliveira,Consumidor,Curitiba,PR,2021-08-16,Indicação,60+
C00025,Ana Oliveira,Consumidor,Brasília,DF,2020-07-29,Parceiro,26-35
C00026,Marina Silva,Consumidor,São Paulo,SP,2022-06-17,Parceiro,36-45
C00027,Rafael Araújo,Corporativo,Curitiba,PR,2021-09-25,Orgânico,36-45
C00028,Bruno Teixeira,Consumidor,Salvador,BA,2022-10-05,Indicação,60+
C00029,Carla Moraes,Consumidor,Rio de Janeiro,RJ,2022-05-26,Orgânico,26-35
C00030,Carla Rocha,Consumidor,São Paulo,SP,2021-03-08,Mídia Paga,60+
C00031,Karina Ferreira,Consumidor,Porto Alegre,RS,2021-01-16,Orgânico,26-35
C00032,Olívia Moraes,PME,Rio de Janeiro,RJ,2022-11-23,Parceiro,18-25
C00033,Lucas Oliveira,Consumidor,Curitiba,PR,2022-07-20,Mídia Paga,36-45
C00034,Rafael Ribeiro,Consumidor,Brasília,DF,2022-11-24,Parceiro,18-25
C00035,Rafael Pereira,Corporativo,Rio de Janeiro,RJ,2022-08-15,Orgânico,60+
C00036,Isabela Souza,Consumidor,Brasília,DF,2021-07-20,Orgânico,46-60
C00037,Elaine Almeida,PME,Salvador,BA,2020-10-04,Orgânico,46-60
C00038,Bruno Gomes,Consumidor,Belo Horizonte,MG,2021-05-23,Indicação,26-35
C00039,Bruno Gomes,Consumidor,Salvador,BA,2020-09-08,Orgânico,26-35
C00040,Elaine Ferreira,PME,Manaus,AM,2020-10-26,Mídia Paga,26-35
C00041,Nuno Ferreira,PME,Salvador,BA,2020-09-22,Orgânico,18-25
C00042,João Ferreira,Consumidor,Fortaleza,CE,2021-12-09,Orgânico,26-35
C00043,Isabela Gomes,Consumidor,Rio de Janeiro,RJ,2020-10-02,Indicação,46-60
C00044,Sofia Almeida,PME,Curitiba,PR,2022-06-03,Orgânico,60+
C00045,Tiago Melo,Consumidor,Salvador,BA,2021-09-12,Orgânico,60+
C00046,Gabriela Gomes,Consumidor,Brasília,DF,2020-12-29,Indicação,36-45
C00047,João Melo,PME,Rio de Janeiro,RJ,2020-11-25,Orgânico,46-60
C00048,Felipe Moraes,Consumidor,Recife,PE,2021-01-08,Indicação,46-60
C00049,Nuno Teixeira,Consumidor,Curitiba,PR,2022-05-01,Indicação,36-45
C00050,Carla Ribeiro,Consumidor,Belo Horizonte,MG,2021-01-27,Indicação,60+
C00051,João Ferreira,Consumidor,Porto Alegre,RS,2021-01-13,Mídia Paga,26-35
C00052,Nuno Teixeira,Consumidor,Rio de Janeiro,RJ,2021-08-23,Orgânico,46-60
C00053,Diego Rocha,Consumidor,São Paulo,SP,2020-10-25,Orgânico,60+
C00054,Olívia Melo,Consumidor,Belo Horizonte,MG,2020-09-03,Parceiro,60+
C00055,Quezia Rocha,Consumidor,Fortaleza,CE,2021-03-15,Mídia Paga,60+
C00056,Isabela Melo,Consumidor,Porto Alegre,RS,2020-07-25,Indicação,26-35
C00057,Isabela Carvalho,Consumidor,Curitiba,PR,2022-04-06,Orgânico,60+
C00058,Nuno Rocha,Consumidor,Porto Alegre,RS,2022-09-28,Orgânico,46-60
C00059,Sofia Silva,Consumidor,Recife,PE,2021-10-30,Mídia Paga,60+
C00060,Rafael Moraes,Consumidor,Recife,PE,2021-05-30,Mídia Paga,46-60
C00061,Karina Martins,Consumidor,São Paulo,SP,2021-10-30,Mídia Paga,46-60
C00062,Ana Oliveira,Corporativo,Manaus,AM,2021-05-04,Indicação,26-35
C00063,Karina Costa,PME,Curitiba,PR,2021-11-09,Indicação,36-45
C00064,Carla Araújo,PME,Curitiba,PR,2020-07-31,Orgânico,60+
C00065,Carla Souza,Consumidor,Porto Alegre,RS,2021-02-05,Mídia Paga,26-35
C00066,Gabriela Barbosa,Consumidor,Rio de Janeiro,RJ,2021-05-04,Mídia Paga,36-45
C00067,Felipe Ribeiro,Consumidor,Rio de Janeiro,RJ,2020-09-27,Orgânico,18-25
C00068,Sofia Ferreira,Corporativo,Porto Alegre,RS,2022-09-16,Orgânico,36-45
C00069,Sofia Souza,PME,Rio de Janeiro,RJ,2020-09-08,Orgânico,46-60
C00070,Paulo Santos,PME,Recife,PE,2020-08-12,Indicação,36-45
C00071,Felipe Melo,PME,Belo Horizonte,MG,2021-09-13,Parceiro,36-45
C00072,Karina Ferreira,PME,Manaus,AM,2022-03-03,Mídia Paga,18-25
C00073,Tiago Martins,Consumidor,Fortaleza,CE,2021-04-28,Orgânico,46-60
C00074,Tiago Almeida,PME,Salvador,BA,2022-02-19,Indicação,60+
C00075,Rafael Ferreira,Corporativo,Recife,PE,2021-07-20,Mídia Paga,46-60
C00076,Sofia Gomes,Consumidor,Porto Alegre,RS,2022-01-23,Indicação,60+
C00077,Lucas Barbosa,Consumidor,Brasília,DF,2021-12-29,Orgânico,36-45
C00078,Gabriela Araújo,Consumidor,Belo Horizonte,MG,2022-05-20,Orgânico,60+
C00079,Gabriela Ribeiro,Corporativo,Curitiba,PR,2022-08-22,Orgânico,26-35
C00080,João Pereira,Consumidor,São Paulo,SP,2021-05-15,Indicação,46-60
C00081,Paulo Barbosa,Consumidor,Curitiba,PR,2021-08-09,Orgânico,18-25
C00082,Sofia Souza,Consumidor,Fortaleza,CE,2022-09-18,Orgânico,60+
C00083,Rafael Rocha,Corporativo,Porto Alegre,RS,2022-08-03,Indicação,60+
C00084,João Teixeira,Consumidor,Manaus,AM,2021-09-19,Indicação,60+
C00085,Gabriela Almeida,Corporativo,Porto Alegre,RS,2021-03-02,Mídia Paga,26-35
C00086,João Souza,Consumidor,Manaus,AM,2021-08-08,Orgânico,36-45
C00087,Sofia Costa,PME,Porto Alegre,RS,2022-03-07,Indicação,60+
C00088,João Moraes,Consumidor,São Paulo,SP,2022-06-16,Mídia Paga,60+
C00089,João Martins,Corporativo,Fortaleza,CE,2020-12-27,Parceiro,60+
C00090,Isabela Silva,Consumidor,Salvador,BA,2021-03-24,Orgânico,60+
C00091,Bruno Lima,Consumidor,Curitiba,PR,2021-04-21,Indicação,46-60
C00092,Paulo Gomes,Corporativo,Fortaleza,CE,2022-08-31,Indicação,36-45
C00093,Paulo Ribeiro,PME,Salvador,BA,2021-10-07,Mídia Paga,46-60
C00094,Marina Melo,PME,Salvador,BA,2022-08-06,Mídia Paga,18-25
C00095,Gabriela Melo,PME,Recife,PE,2022-10-08,Indicação,46-60
C00096,Paulo Santos,PME,Curitiba,PR,2021-09-10,Orgânico,60+
C00097,Ana Cardoso,PME,Curitiba,PR,2021-05-17,Indicação,26-35
C00098,João Melo,Corporativo,Belo Horizonte,MG,2021-07-10,Mídia Paga,46-60
C00099,Rafael Pereira,PME,Porto Alegre,RS,2021-08-22,Indicação,60+
C00100,Quezia Almeida,Consumidor,Recife,PE,2021-12-19,Mídia Paga,36-45
C00101,Paulo Pereira,PME,Manaus,AM,2021-01-26,Indicação,46-60
C00102,Henrique Teixeira,Consumidor,Salvador,BA,2022-05-23,Indicação,46-60
C00103,Elaine Araújo,Consumidor,Recife,PE,2021-11-02,Parceiro,26-35
C00104,Quezia Barbosa,Consumidor,Fortaleza,CE,2022-08-22,Orgânico,26-35
C00105,Paulo Almeida,Consumidor,Belo Horizonte,MG,2022-09-17,Orgânico,46-60
C00106,Paulo Cardoso,PME,Recife,PE,2022-01-12,Orgânico,18-25
C00107,Carla Rocha,Consumidor,Curitiba,PR,2022-04-14,Parceiro,18-25
C00108,Lucas Gomes,Consumidor,São Paulo,SP,2022-02-05,Indicação,26-35
C00109,Felipe Oliveira,Consumidor,Belo Horizonte,MG,2022-06-11,Indicação,46-60
C00110,Isabela Barbosa,PME,Fortaleza,CE,2021-02-17,Orgânico,18-25
C00111,Rafael Lima,PME,Curitiba,PR,2021-01-08,Orgânico,36-45
C00112,João Costa,Corporativo,Fortaleza,CE,2020-07-20,Parceiro,46-60
C00113,João Ribeiro,Consumidor,Salvador,BA,2021-04-23,Orgânico,46-60
C00114,Paulo Ribeiro,Consumidor,São Paulo,SP,2021-03-22,Mídia Paga,26-35
C00115,Isabela Pereira,PME,Porto Alegre,RS,2021-03-07,Indicação,18-25
C00116,Karina Rocha,Consumidor,Rio de Janeiro,RJ,2022-02-03,Orgânico,26-35
C00117,Quezia Almeida,PME,Salvador,BA,2021-06-07,Mídia Paga,36-45
C00118,Diego Barbosa,Corporativo,Salvador,BA,2020-08-31,Parceiro,26-35
C00119,Rafael Gomes,PME,Recife,PE,2020-07-19,Orgânico,46-60
C00120,Marina Gomes,Consumidor,Curitiba,PR,2021-04-13,Orgânico,26-35
C00121,Tiago Ferreira,Consumidor,Brasília,DF,2022-01-01,Indicação,46-60
C00122,Paulo Santos,Corporativo,São Paulo,SP,2022-01-25,Orgânico,60+
C00123,Sofia Pereira,Consumidor,Brasília,DF,2021-09-29,Mídia Paga,18-25
C00124,Olívia Barbosa,PME,Salvador,BA,2022-04-24,Parceiro,36-45
C00125,Lucas Souza,Consumidor,Brasília,DF,2021-02-10,Indicação,26-35
C00126,Tiago Silva,Corporativo,Porto Alegre,RS,2021-02-13,Orgânico,36-45
C00127,Carla Cardoso,Consumidor,Manaus,AM,2022-05-06,Orgânico,26-35
C00128,Isabela Pereira,PME,Manaus,AM,2022-11-30,Parceiro,60+
C00129,Ana Gomes,Consumidor,São Paulo,SP,2022-07-21,Mídia Paga,26-35
C00130,Diego Oliveira,Consumidor,Recife,PE,2021-06-12,Indicação,36-45
C00131,Tiago Souza,Consumidor,Brasília,DF,2022-04-20,Mídia Paga,60+
C00132,Diego Araújo,Consumidor,Recife,PE,2021-09-22,Mídia Paga,46-60
C00133,Carla Pereira,Consumidor,Manaus,AM,2022-07-04,Orgânico,60+
